session_id,image_id,image_filename,image_source_ground_truth,ground_truth_mask_file,randomization_pool,notes
BLIND001,S011,synthetic_salt_011.png,synthetic,gt_masks/synthetic_salt_011_mask.png,main,synthetic with salt
BLIND001,S012,synthetic_salt_012.png,synthetic,gt_masks/synthetic_salt_012_mask.png,main,synthetic with salt
BLIND001,S013,synthetic_salt_013.png,synthetic,gt_masks/synthetic_salt_013_mask.png,main,synthetic with salt
BLIND001,S014,synthetic_salt_014.png,synthetic,gt_masks/synthetic_salt_014_mask.png,main,synthetic with salt
BLIND001,S015,synthetic_salt_015.png,synthetic,gt_masks/synthetic_salt_015_mask.png,main,synthetic with salt
BLIND001,S016,synthetic_salt_016.png,synthetic,gt_masks/synthetic_salt_016_mask.png,main,synthetic with salt
BLIND001,S017,synthetic_salt_017.png,synthetic,gt_masks/synthetic_salt_017_mask.png,main,synthetic with salt
BLIND001,S018,synthetic_salt_018.png,synthetic,gt_masks/synthetic_salt_018_mask.png,main,synthetic with salt
BLIND001,S019,synthetic_salt_019.png,synthetic,gt_masks/synthetic_salt_019_mask.png,main,synthetic with salt
BLIND001,S020,synthetic_salt_020.png,synthetic,gt_masks/synthetic_salt_020_mask.png,main,synthetic with salt
BLIND001,S021,synthetic_salt_021.png,synthetic,gt_masks/synthetic_salt_021_mask.png,main,synthetic with salt
BLIND001,S022,synthetic_salt_022.png,synthetic,gt_masks/synthetic_salt_022_mask.png,main,synthetic with salt
BLIND001,S023,synthetic_salt_023.png,synthetic,gt_masks/synthetic_salt_023_mask.png,main,synthetic with salt
BLIND001,S024,synthetic_salt_024.png,synthetic,gt_masks/synthetic_salt_024_mask.png,main,synthetic with salt
BLIND001,S025,synthetic_salt_025.png,synthetic,gt_masks/synthetic_salt_025_mask.png,main,synthetic with salt
BLIND001,S026,synthetic_salt_026.png,synthetic,gt_masks/synthetic_salt_026_mask.png,main,synthetic with salt
BLIND001,S027,synthetic_salt_027.png,synthetic,gt_masks/synthetic_salt_027_mask.png,main,synthetic with salt
BLIND001,S028,synthetic_salt_028.png,synthetic,gt_masks/synthetic_salt_028_mask.png,main,synthetic with salt
BLIND001,S029,synthetic_salt_029.png,synthetic,gt_masks/synthetic_salt_029_mask.png,main,synthetic with salt
BLIND001,S030,synthetic_salt_030.png,synthetic,gt_masks/synthetic_salt_030_mask.png,main,synthetic with salt
BLIND001,S031,synthetic_salt_031.png,synthetic,gt_masks/synthetic_salt_031_mask.png,main,synthetic with salt
BLIND001,S032,synthetic_salt_032.png,synthetic,gt_masks/synthetic_salt_032_mask.png,main,synthetic with salt
BLIND001,S033,synthetic_salt_033.png,synthetic,gt_masks/synthetic_salt_033_mask.png,main,synthetic with salt
BLIND001,S034,synthetic_salt_034.png,synthetic,gt_masks/synthetic_salt_034_mask.png,main,synthetic with salt
BLIND001,S035,synthetic_salt_035.png,synthetic,gt_masks/synthetic_salt_035_mask.png,main,synthetic with salt
BLIND001,C001,control_001.png,real,gt_masks/control_001_mask.png,control,control without salt
BLIND001,C002,control_002.png,real,gt_masks/control_002_mask.png,control,control without salt
BLIND001,C003,control_003.png,real,gt_masks/control_003_mask.png,control,control without salt
BLIND001,C004,control_004.png,real,gt_masks/control_004_mask.png,control,control without salt
BLIND001,C005,control_005.png,real,gt_masks/control_005_mask.png,control,control without salt
BLIND001,C006,control_006.png,real,gt_masks/control_006_mask.png,control,control without salt
BLIND001,C007,control_007.png,real,gt_masks/control_007_mask.png,control,control without salt
BLIND001,C008,control_008.png,real,gt_masks/control_008_mask.png,control,control without salt
BLIND001,C009,control_009.png,real,gt_masks/control_009_mask.png,control,control without salt
BLIND001,C010,control_010.png,real,gt_masks/control_010_mask.png,control,control without salt
